Time (sec),Calculated Load (g/rev),CL Fuel Target (AFR),Comm Fuel Final (AFR),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (Gear),Intake Temp Manifold (F),MAF Corr. (g/s),Boost (psi),Oil Temp (F),Req. Torque (Nm),TD Boost Error (psi),TGV Map Ratio (mult),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel. Position (%),Baro. Pressure (psi),Coolant Temp (F),Ignition Timing (°),Inj. Duty Cycle (%),Intake Temp (F),MAF Volt. (V),RPM (RPM),Throttle Pos. (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.0-17120][2017 USDM WRX MT COBB Custom Features][Reflash: Szymon-2017-WRX-Stage-2-FBO-E-Built-Tuned-No-Burble.ptm - Realtime: Szymon-2017-WRX-Stage-2-FBO-E-Built-Tuned-No-Burble.ptm]
0.000,0.25,14.55,14.93,1.000,0.00,0.00,394,438,4,100,9.03,-10.76,209,39.56,2.77,1.000,0.00,-6.25,13.89,6.7,14.65,192,28.50,1.38,88,1.46,2172,9.8,0.00,0
0.011,0.25,14.55,14.93,1.000,0.00,0.00,388,438,4,100,9.31,-10.59,209,38.54,2.50,1.000,0.78,-6.25,13.97,6.3,14.65,192,28.50,1.40,88,1.48,2185,9.4,0.00,0
0.016,0.26,14.55,14.93,1.000,0.00,0.00,381,438,4,100,9.44,-10.62,209,37.79,2.31,1.000,0.78,-6.25,14.03,6.3,14.65,192,28.50,1.40,88,1.48,2180,9.4,0.00,0
0.043,0.26,14.54,14.87,1.000,0.00,0.00,379,438,4,100,9.39,-10.67,209,37.16,2.40,1.000,0.78,-6.25,14.09,6.3,14.65,192,28.50,1.40,88,1.48,2168,9.4,0.00,0
0.071,0.26,14.54,14.87,1.000,0.00,0.00,379,438,4,100,9.38,-10.62,209,36.49,2.36,1.000,0.78,-6.25,14.11,6.3,14.65,192,28.50,1.40,88,1.48,2154,9.4,0.00,0
0.076,0.26,14.54,14.87,1.000,0.00,0.00,386,438,4,100,9.34,-10.45,209,35.90,2.18,1.000,0.78,-6.25,14.15,6.3,14.65,192,28.50,1.38,88,1.46,2147,9.0,0.00,0
0.110,0.26,14.54,14.93,1.000,0.00,0.00,389,438,4,100,9.30,-10.48,209,36.10,2.18,1.000,0.78,-6.25,14.21,6.3,14.65,192,28.50,1.38,88,1.46,2134,9.0,0.00,0
0.114,0.26,14.54,14.93,1.000,0.00,0.00,383,438,4,100,9.32,-10.57,209,36.11,2.26,1.000,1.56,-6.25,14.23,6.3,14.65,192,28.50,1.37,88,1.46,2133,9.0,0.00,0
0.148,0.26,14.54,14.93,1.000,0.00,0.00,394,438,4,100,9.34,-10.59,209,37.73,2.49,1.000,1.56,-6.25,14.27,6.3,14.65,192,28.50,1.37,88,1.46,2132,9.0,0.00,0
0.153,0.26,14.54,14.93,1.000,0.00,0.00,377,438,4,100,9.38,-10.59,209,37.70,2.49,1.000,1.56,-6.25,14.29,6.3,14.65,192,28.50,1.37,88,1.46,2133,9.0,0.00,0
0.177,0.26,14.54,14.93,1.000,0.00,0.00,374,438,4,100,9.46,-10.45,209,39.21,2.49,1.000,1.56,-6.25,14.33,6.3,14.65,192,28.50,1.37,88,1.46,2143,9.4,0.00,0
